Name,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Nichinan,JP,23 Oct 2019 07:23:32,31.65,131.31,20.0,82,90,1.0
Punta Arenas,CL,23 Oct 2019 07:23:33,-53.16,-70.91,11.0,66,75,5.7
Mount Gambier,AU,23 Oct 2019 07:23:33,-37.83,140.78,17.0,63,16,3.1
Kaitangata,NZ,23 Oct 2019 07:23:33,-46.28,169.85,9.52,76,90,14.73
Lugovoy,RU,23 Oct 2019 07:23:33,59.72,65.88,0.22,77,100,6.17
Port Alfred,ZA,23 Oct 2019 07:23:34,-33.59,26.89,18.33,76,33,3.13
Athabasca,CA,23 Oct 2019 07:23:34,54.72,-113.29,0.18,85,100,5.12
Beringovskiy,RU,23 Oct 2019 07:23:34,63.05,179.32,-4.47,89,82,12.81
Port Lincoln,AU,23 Oct 2019 07:23:35,-34.72,135.86,18.55,46,0,3.54
Hithadhoo,MV,23 Oct 2019 07:23:35,-0.6,73.08,27.21,73,100,7.11
Nishihara,JP,23 Oct 2019 07:23:35,35.74,139.53,21.11,77,90,3.14
Karratha,AU,23 Oct 2019 07:21:10,-20.74,116.85,29.08,42,0,5.96
Pacific Grove,US,23 Oct 2019 07:23:36,36.62,-121.92,17.78,62,1,4.48
Chokurdakh,RU,23 Oct 2019 07:23:36,70.62,147.9,-18.34,97,87,3.53
Ancud,CL,23 Oct 2019 07:23:37,-41.87,-73.83,12.0,62,0,3.1
Raymond,CA,23 Oct 2019 07:22:17,49.47,-112.67,3.0,69,90,7.7
Mahebourg,MU,23 Oct 2019 07:20:10,-20.41,57.7,25.0,78,40,4.6
Castro,CL,23 Oct 2019 07:23:37,-42.48,-73.76,12.0,62,0,3.1
Kapaa,US,23 Oct 2019 07:20:25,22.08,-159.32,26.0,83,75,7.2
Hobart,AU,23 Oct 2019 07:19:52,-42.88,147.33,13.0,76,90,3.1
Trincomalee,LK,23 Oct 2019 07:23:38,8.58,81.23,25.06,82,100,2.24
Port Elizabeth,US,23 Oct 2019 07:23:38,39.31,-74.98,17.22,63,1,4.1
Tasiilaq,GL,23 Oct 2019 07:23:38,65.61,-37.64,-3.0,73,75,2.1
Bluff,AU,23 Oct 2019 07:23:39,-23.58,149.07,17.72,77,0,4.29
Butaritari,KI,23 Oct 2019 07:23:39,3.07,172.79,28.92,71,19,2.59
Nanortalik,GL,23 Oct 2019 07:23:39,60.14,-45.24,2.06,84,5,1.91
Atuona,PF,23 Oct 2019 07:23:40,-9.8,-139.03,26.08,71,4,5.18
Nouadhibou,MR,23 Oct 2019 07:23:40,20.93,-17.03,29.0,28,0,7.7
Fare,PF,23 Oct 2019 07:23:40,-16.7,-151.02,26.4,71,18,3.7
Norman Wells,CA,23 Oct 2019 07:23:41,65.28,-126.83,-9.0,92,75,1.5
Tuktoyaktuk,CA,23 Oct 2019 07:23:41,69.44,-133.03,-7.0,92,90,3.6
Brae,GB,23 Oct 2019 07:23:41,60.4,-1.35,12.0,87,20,8.2
Lebu,ET,23 Oct 2019 07:23:42,8.96,38.73,13.7,65,35,2.83
Mpika,ZM,23 Oct 2019 07:23:42,-11.84,31.4,31.25,21,0,3.72
Kalianget,ID,23 Oct 2019 07:23:42,-7.74,113.68,27.86,74,82,1.56
Hilo,US,23 Oct 2019 07:23:43,19.71,-155.08,24.0,73,90,4.1
Teguise,ES,23 Oct 2019 07:23:43,29.06,-13.56,22.0,64,20,8.7
Tiksi,RU,23 Oct 2019 07:23:43,71.64,128.87,-16.79,89,1,2.83
Vardo,US,23 Oct 2019 07:23:43,39.62,-77.74,14.44,66,1,3.1
Kalengwa,ZM,23 Oct 2019 07:23:44,-13.47,25.0,33.33,25,98,1.52
Hasaki,JP,23 Oct 2019 07:23:44,35.73,140.83,18.0,82,75,2.1
Fortuna,US,23 Oct 2019 07:23:44,40.6,-124.16,12.22,100,90,3.1
Klaksvik,FO,23 Oct 2019 07:23:44,62.23,-6.59,9.0,93,100,6.7
Aksarka,RU,23 Oct 2019 07:23:45,66.56,67.8,-6.02,91,100,4.32
Salalah,OM,23 Oct 2019 07:23:45,17.01,54.1,31.0,45,8,2.1
Pangnirtung,CA,23 Oct 2019 07:23:46,66.15,-65.72,-2.0,86,90,3.13
Rio Gallegos,AR,23 Oct 2019 07:23:46,-51.62,-69.22,16.0,63,80,5.7
Neryungri,RU,23 Oct 2019 07:23:46,56.66,124.71,-7.46,96,100,0.35
Katsuura,JP,23 Oct 2019 07:23:47,33.93,134.5,19.0,82,75,2.1
Ribeira Grande,PT,23 Oct 2019 07:23:47,38.52,-28.7,21.0,88,20,3.6
Mataura,NZ,23 Oct 2019 07:23:47,-46.19,168.86,8.33,86,99,7.6
Barrow,AR,23 Oct 2019 07:23:47,-38.31,-60.23,13.07,80,96,8.9
Tilichiki,RU,23 Oct 2019 07:23:48,60.47,166.1,-12.88,74,52,4.06
Manokwari,ID,23 Oct 2019 07:23:48,-0.87,134.08,22.4,88,100,1.62
Edd,ER,23 Oct 2019 07:23:49,13.93,41.69,35.35,18,1,7.95
Winnemucca,US,23 Oct 2019 07:23:49,40.97,-117.74,-1.67,74,1,1.5
Bredasdorp,ZA,23 Oct 2019 07:23:49,-34.53,20.04,19.0,45,75,7.7
Batagay-Alyta,RU,23 Oct 2019 07:23:50,67.8,130.41,-14.49,98,97,1.06
Puerto Ayora,EC,23 Oct 2019 07:23:50,-0.74,-90.35,22.0,73,90,6.2
Khatanga,RU,23 Oct 2019 07:23:51,71.98,102.47,-13.79,83,100,4.44
Airai,TL,23 Oct 2019 07:23:51,-8.93,125.41,17.75,57,100,1.96
Buta,CD,23 Oct 2019 07:23:51,2.79,24.73,26.22,85,98,1.34
Gladstone,AU,23 Oct 2019 07:23:51,-23.84,151.26,21.0,64,40,3.1
Bela Vista,BR,23 Oct 2019 07:23:52,-22.11,-56.53,35.16,24,0,0.46
Thompson,CA,23 Oct 2019 07:23:52,55.74,-97.86,-4.0,85,90,6.2
Yellowknife,CA,23 Oct 2019 07:23:52,62.45,-114.38,-1.0,100,90,3.6
Kodiak,US,23 Oct 2019 07:23:53,39.95,-94.76,11.67,57,20,2.6
Pierre,US,23 Oct 2019 07:23:53,44.37,-100.35,3.33,93,90,3.1
Dalbandin,PK,23 Oct 2019 07:23:53,28.9,64.41,20.21,16,0,3.06
Albstadt,DE,23 Oct 2019 07:23:54,50.12,9.12,16.67,82,90,3.1
Longyearbyen,NO,23 Oct 2019 07:23:54,78.22,15.63,-5.0,62,40,5.7
Totskoye,RU,23 Oct 2019 07:23:54,52.53,52.75,9.8,78,74,4.24
Brufut,GM,23 Oct 2019 07:23:55,13.38,-16.75,32.0,55,69,4.6
Clyde River,CA,23 Oct 2019 07:23:55,70.47,-68.59,-2.0,79,75,3.6
Zhongshu,CN,23 Oct 2019 07:23:55,24.52,103.77,14.38,97,97,1.41
Bagdarin,RU,23 Oct 2019 07:23:55,54.44,113.59,-14.39,86,0,1.86
Torbay,CA,23 Oct 2019 07:23:56,47.66,-52.73,8.0,81,75,4.1
Hermanus,ZA,23 Oct 2019 07:23:56,-34.42,19.24,17.22,70,69,2.24
Saint Anthony,US,23 Oct 2019 07:23:56,43.97,-111.68,2.22,70,1,0.8
Okato,NZ,23 Oct 2019 07:23:57,-39.19,173.88,8.89,82,98,2.24
Azul,AR,23 Oct 2019 07:23:57,-36.78,-59.86,13.33,66,100,5.67
Barao de Melgaco,BR,23 Oct 2019 07:23:57,-16.19,-55.97,32.0,43,40,2.25
Quatre Cocos,MU,23 Oct 2019 07:23:58,-20.21,57.76,25.0,78,40,4.6
Hay River,CA,23 Oct 2019 07:23:58,60.82,-115.79,0.0,89,90,3.6
Sept-Iles,CA,23 Oct 2019 07:23:58,50.2,-66.38,6.11,87,90,8.2
Huzhou,CN,23 Oct 2019 07:23:59,30.86,120.1,19.44,1,55,1.49
Vao,EE,23 Oct 2019 07:23:59,59.1,26.19,8.32,92,81,2.49
Adrar,DZ,23 Oct 2019 07:23:59,27.87,-0.29,30.0,10,0,2.6
Saint-Philippe,CA,23 Oct 2019 07:23:59,45.36,-73.48,14.0,76,1,8.7
Vila Velha,BR,23 Oct 2019 07:24:00,-3.71,-38.6,32.0,52,20,4.1
Tadine,NC,23 Oct 2019 07:24:00,-21.55,167.88,19.61,79,87,5.69
Atar,MR,23 Oct 2019 07:24:00,20.52,-13.05,34.02,20,8,3.32
Miyoshi,JP,23 Oct 2019 07:24:00,34.81,132.85,17.0,72,75,2.6
Rochegda,RU,23 Oct 2019 07:24:01,62.67,43.41,5.25,87,100,4.39
Carnarvon,ZA,23 Oct 2019 07:24:01,-30.97,22.13,19.75,12,100,7.09
Ahipara,NZ,23 Oct 2019 07:24:01,-35.17,173.16,10.0,96,76,9.38
Okhotsk,RU,23 Oct 2019 07:24:02,59.36,143.24,-2.98,63,90,3.39
Cayenne,GF,23 Oct 2019 07:24:02,4.94,-52.33,32.0,59,75,3.6
Baghdad,IQ,23 Oct 2019 07:19:03,33.3,44.38,30.0,30,75,4.1
Dongying,CN,23 Oct 2019 07:24:02,37.43,118.67,18.7,52,0,2.53
Stromness,CA,23 Oct 2019 07:24:03,42.87,-79.55,13.33,66,20,6.7
Katsina,NG,23 Oct 2019 07:24:03,12.99,7.6,35.74,14,100,5.25
Perth,AU,23 Oct 2019 07:20:05,-31.95,115.86,17.22,77,75,5.1
Iskandar,IR,23 Oct 2019 07:24:04,38.02,46.58,15.0,54,75,2.1
Kozluk,TR,23 Oct 2019 07:24:04,38.17,41.5,25.0,68,75,3.6
Hualmay,PE,23 Oct 2019 07:24:04,-11.1,-77.61,22.84,50,0,3.84
Shingu,JP,23 Oct 2019 07:24:04,33.72,135.99,22.05,78,94,5.7
Sri Aman,MY,23 Oct 2019 07:24:05,1.24,111.46,24.0,94,92,0.87
New Norfolk,AU,23 Oct 2019 07:24:05,-42.78,147.06,13.0,76,90,3.1
Kharan,PK,23 Oct 2019 07:24:05,28.58,65.42,24.25,18,0,1.87
Saint-Augustin,CA,23 Oct 2019 07:24:06,45.63,-73.98,13.89,87,20,3.1
Lagoa,PT,23 Oct 2019 07:24:06,37.14,-8.45,21.0,40,40,10.3
Bambanglipuro,ID,23 Oct 2019 07:24:06,-7.95,110.28,22.84,92,100,2.32
Riwaka,NZ,23 Oct 2019 07:24:06,-41.08,173.0,10.0,86,44,0.89
Konevo,BG,23 Oct 2019 07:24:07,41.67,25.61,18.35,42,0,2.93
Broome,GB,23 Oct 2019 07:24:07,52.47,1.45,15.56,77,20,2.6
Baykit,RU,23 Oct 2019 07:24:07,61.68,96.39,-5.74,85,93,1.42
Kvitok,RU,23 Oct 2019 07:24:08,56.08,98.48,-2.2,54,100,2.05
Morwa,BW,23 Oct 2019 07:24:08,-24.44,26.07,36.1,11,74,3.99
Vila Franca do Campo,PT,23 Oct 2019 07:24:08,37.72,-25.43,22.22,77,40,5.7
Shahdol,IN,23 Oct 2019 07:24:08,23.3,81.36,19.87,70,86,2.0
Esperance,AU,23 Oct 2019 07:24:09,-33.86,121.89,15.0,87,90,3.1
Dikson,RU,23 Oct 2019 07:24:09,73.51,80.55,-7.35,95,98,6.59
Bloomfield,US,23 Oct 2019 07:24:09,40.75,-92.42,7.78,87,1,3.6
Mangochi,MW,23 Oct 2019 07:24:09,-14.48,35.26,31.71,32,0,3.21
Abong Mbang,CM,23 Oct 2019 07:24:10,3.98,13.18,23.89,80,100,1.58
Ambulu,ID,23 Oct 2019 07:24:10,-8.35,113.61,25.52,85,2,3.56
Gornopravdinsk,RU,23 Oct 2019 07:24:10,60.06,69.92,-1.73,78,94,4.53
Gimli,CA,23 Oct 2019 07:24:11,50.63,-96.99,1.11,94,100,3.58
Kaspiyskiy,RU,23 Oct 2019 07:24:11,45.39,47.37,12.97,59,0,3.05
Cherskiy,RU,23 Oct 2019 07:24:11,68.75,161.3,-15.9,82,100,2.77
Aswan,EG,23 Oct 2019 07:24:12,24.09,32.9,35.0,17,0,6.7
Whitehorse,CA,23 Oct 2019 07:24:12,60.72,-135.06,-0.57,80,75,9.8
Nara,JP,23 Oct 2019 07:24:12,34.68,135.8,20.0,77,75,3.1
Acari,BR,23 Oct 2019 07:24:12,-6.44,-36.64,35.45,21,2,4.84
Alpena,US,23 Oct 2019 07:24:13,45.06,-83.43,8.33,75,90,4.6
Pevek,RU,23 Oct 2019 07:24:13,69.7,170.27,-7.33,93,100,3.31
Deputatskiy,RU,23 Oct 2019 07:24:13,69.3,139.9,-16.49,89,44,1.21
Kidal,ML,23 Oct 2019 07:24:14,18.44,1.41,38.79,9,43,5.87
Sorland,NO,23 Oct 2019 07:24:14,67.67,12.69,5.0,57,40,3.1
Sabang,PH,23 Oct 2019 07:24:14,13.8,121.11,26.67,89,9,0.45
Nikolskoye,RU,23 Oct 2019 07:24:15,59.7,30.79,11.0,71,75,8.0
Lanzhou,CN,23 Oct 2019 07:22:23,36.06,103.82,2.0,69,90,7.0
Goderich,CA,23 Oct 2019 07:24:15,43.74,-81.71,10.0,81,56,8.05
Cidreira,BR,23 Oct 2019 07:24:15,-30.17,-50.22,18.46,72,0,3.23
Sao Filipe,CV,23 Oct 2019 07:24:16,14.9,-24.5,23.68,78,21,9.77
Surgut,RU,23 Oct 2019 07:24:17,61.25,73.4,-1.0,86,75,3.0
Chuy,UY,23 Oct 2019 07:24:17,-33.69,-53.46,19.97,53,0,4.8
Narrabri,AU,23 Oct 2019 07:24:17,-30.33,149.78,21.0,28,19,4.1
Seoul,KR,23 Oct 2019 07:24:04,37.57,126.98,17.0,87,75,2.6
Havelock,US,23 Oct 2019 07:24:18,34.88,-76.9,20.0,77,1,6.7
Port-Gentil,GA,23 Oct 2019 07:24:18,-0.72,8.78,30.0,74,40,4.1
Alamosa,US,23 Oct 2019 07:24:19,37.47,-105.87,-2.0,67,1,1.5
Basco,US,23 Oct 2019 07:24:19,40.33,-91.2,10.56,66,40,5.1
Lavrentiya,RU,23 Oct 2019 07:24:20,65.58,-170.99,-1.08,82,100,8.02
Faanui,PF,23 Oct 2019 07:24:20,-16.48,-151.75,26.43,71,45,3.91
Xiongyue,CN,23 Oct 2019 07:24:21,40.18,122.12,12.9,79,0,2.22
Shwebo,MM,23 Oct 2019 07:24:21,22.57,95.7,25.59,82,55,1.53
Mar del Plata,AR,23 Oct 2019 07:23:55,-46.43,-67.52,11.75,63,0,4.89
San Patricio,PY,23 Oct 2019 07:24:21,-26.98,-56.83,26.12,45,0,1.92
Madona,LV,23 Oct 2019 07:24:22,56.85,26.22,8.74,83,100,2.81
Kohlu,PK,23 Oct 2019 07:24:22,29.9,69.25,20.65,20,0,3.09
Caravelas,BR,23 Oct 2019 07:24:23,-17.73,-39.27,27.2,78,100,2.37
Baruun-Urt,MN,23 Oct 2019 07:24:23,46.68,113.28,-3.3,58,100,4.82
Tual,ID,23 Oct 2019 07:24:23,-5.67,132.75,26.67,80,69,3.42
Kokopo,PG,23 Oct 2019 07:24:24,-4.34,152.27,27.93,76,1,5.93
Mackenzie,CA,23 Oct 2019 07:24:24,55.34,-123.09,-5.0,92,1,1.08
Doha,QA,23 Oct 2019 07:23:59,25.29,51.53,33.0,62,0,4.6
Tuatapere,NZ,23 Oct 2019 07:24:24,-46.13,167.69,8.33,86,87,7.6
Tuyen Quang,VN,23 Oct 2019 07:20:40,21.82,105.22,22.25,92,55,1.72
Oistins,BB,23 Oct 2019 07:21:52,13.07,-59.53,30.0,70,40,5.7
Visnes,NO,23 Oct 2019 07:24:25,59.36,5.22,12.0,76,75,7.2
Ulaangom,MN,23 Oct 2019 07:24:26,49.98,92.07,-4.89,68,100,1.34
Louveira,BR,23 Oct 2019 07:24:26,-23.09,-46.95,31.67,39,40,4.1
Leh,IN,23 Oct 2019 07:24:26,34.16,77.58,-0.9,30,50,2.18
Geraldton,CA,23 Oct 2019 07:24:27,49.72,-86.95,2.0,93,90,4.1
Naze,NG,23 Oct 2019 07:24:27,5.43,7.07,29.0,70,75,4.1
Rabo de Peixe,PT,23 Oct 2019 07:24:27,37.8,-25.58,22.22,77,40,5.7
Venice,US,23 Oct 2019 07:24:28,27.1,-82.45,25.0,69,1,6.7
Beni,CD,23 Oct 2019 07:24:28,0.49,29.47,21.76,97,99,0.72
Abilene,US,23 Oct 2019 07:24:28,32.45,-99.73,17.78,59,1,9.8
Mikkeli,FI,23 Oct 2019 07:24:29,61.69,27.27,8.0,70,100,2.1
Dakar,SN,23 Oct 2019 07:13:56,14.69,-17.45,30.0,51,29,7.2
Komsomolskiy,RU,23 Oct 2019 07:24:29,67.55,63.78,-6.34,95,100,4.57
Salinopolis,BR,23 Oct 2019 07:24:29,-0.61,-47.36,27.11,79,1,5.96
Bubaque,GW,23 Oct 2019 07:24:30,11.28,-15.83,28.97,51,100,1.03
Elko,US,23 Oct 2019 07:24:30,40.83,-115.76,3.33,80,1,1.1
Kholmogory,RU,23 Oct 2019 07:24:31,64.23,41.65,3.0,86,90,3.0
Chunhuhub,MX,23 Oct 2019 07:24:31,19.59,-88.59,26.49,84,91,2.27
Dickinson,US,23 Oct 2019 07:20:03,46.88,-102.79,-1.11,79,40,5.1
Ugoofaaru,MV,23 Oct 2019 07:24:31,5.67,73.0,28.26,78,100,6.89
Sarankhola,BD,23 Oct 2019 07:24:32,22.31,89.79,25.86,81,64,2.57
Pachino,IT,23 Oct 2019 07:24:32,36.72,15.09,25.0,47,0,3.6
Bereda,ES,23 Oct 2019 07:24:32,43.27,-7.54,16.67,72,40,2.6
Tura,RU,23 Oct 2019 07:24:33,64.27,100.22,-13.16,94,44,2.17
Talnakh,RU,23 Oct 2019 07:24:33,69.49,88.39,-4.0,85,75,10.0
Ornskoldsvik,SE,23 Oct 2019 07:24:34,63.29,18.72,8.0,85,76,1.0
Ust-Omchug,RU,23 Oct 2019 07:24:34,61.13,149.63,-18.34,99,14,1.16
Melipilla,CL,23 Oct 2019 07:24:34,-33.69,-71.21,25.56,82,90,3.1
Lubumbashi,CD,23 Oct 2019 07:24:35,-11.66,27.48,33.0,38,75,5.1
Galle,GN,23 Oct 2019 07:24:35,10.08,-12.83,25.24,88,100,1.23
Talara,PE,23 Oct 2019 07:24:35,-4.58,-81.27,17.0,100,40,10.3
Namibe,AO,23 Oct 2019 07:24:36,-15.19,12.15,26.0,65,40,7.2
Batagay,RU,23 Oct 2019 07:24:36,67.65,134.64,-17.11,86,90,1.02
Conde,BR,23 Oct 2019 07:24:37,-11.81,-37.61,25.64,80,48,6.96
Rundu,NA,23 Oct 2019 07:24:37,-17.91,19.77,38.0,6,10,2.1
Moses Lake,US,23 Oct 2019 07:24:37,47.13,-119.28,6.0,74,1,4.6
El Estor,GT,23 Oct 2019 07:24:38,15.53,-89.34,22.46,91,88,0.53
Strezhevoy,RU,23 Oct 2019 07:24:38,60.73,77.6,0.0,89,75,4.0
Harlingen,NL,23 Oct 2019 07:24:38,53.18,5.41,14.44,87,90,4.1
Faxinal,BR,23 Oct 2019 07:24:38,-24.0,-51.32,27.84,44,14,2.68
Ilmajoki,FI,23 Oct 2019 07:24:39,62.73,22.58,8.33,70,100,2.6
Pozo Colorado,PY,23 Oct 2019 07:24:39,-23.49,-58.8,32.39,23,0,1.71
Manadhoo,MV,23 Oct 2019 07:24:39,5.77,73.38,27.77,79,100,6.76
Matli,PK,23 Oct 2019 07:24:39,25.04,68.66,29.94,31,1,5.59
San Quintin,PH,23 Oct 2019 07:24:40,17.54,120.52,22.85,93,0,1.38
East London,ZA,23 Oct 2019 07:24:40,-33.02,27.91,18.0,68,60,13.9
Arman,RU,23 Oct 2019 07:24:40,59.7,150.17,-1.08,58,0,2.43
Umm Lajj,SA,23 Oct 2019 07:24:41,25.02,37.27,26.36,73,0,4.01
Bambous Virieux,MU,23 Oct 2019 07:24:41,-20.34,57.76,25.0,78,40,4.6
Belawan,ID,23 Oct 2019 07:24:42,-0.59,114.46,23.44,80,100,1.31
Ilulissat,GL,23 Oct 2019 07:24:42,69.22,-51.1,-6.0,44,40,4.1
Garden City,US,23 Oct 2019 07:24:42,43.62,-116.24,7.0,60,1,5.1
Tomigusuku,JP,23 Oct 2019 07:24:43,26.18,127.67,25.0,73,40,4.1
Kieta,PG,23 Oct 2019 07:24:43,-6.22,155.63,27.12,80,84,4.02
Cabedelo,BR,23 Oct 2019 07:24:43,-6.97,-34.84,29.0,66,75,4.1
Lata,IN,23 Oct 2019 07:24:43,30.78,78.62,-4.33,80,0,0.72
Pershotravneve,UA,23 Oct 2019 07:24:44,51.38,28.88,15.15,81,78,1.41
General Roca,AR,23 Oct 2019 07:24:44,-39.03,-67.58,15.0,38,0,2.1
Omsk,RU,23 Oct 2019 07:24:44,54.99,73.37,4.0,100,75,4.0
Semey,KZ,23 Oct 2019 07:24:45,50.41,80.25,1.0,74,100,5.0
Wanning,AT,23 Oct 2019 07:24:45,48.64,13.53,21.11,72,79,3.1
Road Town,VG,23 Oct 2019 07:24:45,18.42,-64.62,31.0,66,20,3.6
Tamiahua,MX,23 Oct 2019 07:24:45,21.28,-97.45,24.48,90,74,7.3
Port Hardy,CA,23 Oct 2019 07:24:46,50.7,-127.42,7.0,93,90,2.1
Bo Phloi,TH,23 Oct 2019 07:24:46,14.32,99.52,25.55,74,0,0.68
Duvan,RU,23 Oct 2019 07:24:46,55.69,57.9,3.54,87,95,7.21
Troitskoye,RU,23 Oct 2019 07:24:46,52.98,84.68,-1.15,70,100,4.16
Chino Valley,US,23 Oct 2019 07:24:47,34.76,-112.45,11.0,55,1,3.1
Hovd,NO,23 Oct 2019 07:24:47,63.83,10.7,10.56,81,75,3.1
Bandarbeyla,SO,23 Oct 2019 07:24:47,9.49,50.81,27.07,75,0,4.16
Pringsewu,ID,23 Oct 2019 07:24:47,-5.36,104.98,21.63,98,100,1.29
Ruteng,ID,23 Oct 2019 07:24:48,-8.61,120.46,19.49,75,65,1.36
Lewistown,US,23 Oct 2019 07:24:48,40.39,-90.15,10.0,61,75,1.5
Saint-Joseph,FR,23 Oct 2019 07:24:48,43.56,6.97,23.0,53,100,7.7
Tessaoua,NE,23 Oct 2019 07:24:49,13.76,7.99,37.22,11,79,6.49
Oktyabrskiy,RU,23 Oct 2019 07:24:49,55.61,37.97,13.0,66,40,3.0
Saldus,LV,23 Oct 2019 07:24:49,56.67,22.49,8.94,86,100,3.43
Ostrovnoy,RU,23 Oct 2019 07:21:04,68.05,39.51,-2.38,81,99,3.11
Port-Cartier,CA,23 Oct 2019 07:24:50,50.03,-66.88,6.11,87,90,8.2
Kindu,CD,23 Oct 2019 07:24:50,-2.95,25.92,25.99,92,86,0.92
Biak,ID,23 Oct 2019 07:24:50,-0.91,122.88,27.09,71,92,4.94
Caibarien,CU,23 Oct 2019 07:24:50,22.52,-79.47,28.0,78,75,2.6
Tateyama,JP,23 Oct 2019 07:24:51,36.66,137.31,17.22,89,100,2.01
Rafaela,AR,23 Oct 2019 07:24:51,-31.25,-61.49,25.56,41,0,1.79
Elat,CM,23 Oct 2019 07:24:51,2.91,11.16,20.68,97,100,1.67
Chongwe,ZM,23 Oct 2019 07:24:52,-15.33,28.68,36.0,15,20,5.1
Birin,NP,23 Oct 2019 07:24:52,26.89,88.07,23.0,88,75,0.5
Ribera,IT,23 Oct 2019 07:24:52,37.5,13.27,25.0,75,99,4.92
Awbari,LY,23 Oct 2019 07:24:52,26.59,12.77,29.63,20,0,3.09
Haines Junction,CA,23 Oct 2019 07:24:53,60.75,-137.51,-5.27,96,100,3.6
Bathsheba,BB,23 Oct 2019 07:24:53,13.22,-59.52,30.0,70,40,5.7
Nhulunbuy,AU,23 Oct 2019 07:20:41,-12.18,136.78,23.0,88,56,2.92
Bodden Town,KY,23 Oct 2019 07:24:53,19.28,-81.25,30.56,74,20,3.6
Harper,US,23 Oct 2019 07:24:54,30.3,-99.24,18.33,67,1,1.5
Rapid Valley,US,23 Oct 2019 07:24:54,44.06,-103.15,6.67,100,75,11.3
Evensk,RU,23 Oct 2019 07:24:54,61.92,159.24,-11.35,45,0,4.78
Yulara,AU,23 Oct 2019 07:24:55,-25.24,130.99,26.0,11,68,2.6
Khash,IR,23 Oct 2019 07:24:55,28.22,61.21,19.93,23,0,2.15
Shitkino,RU,23 Oct 2019 07:21:11,56.37,98.35,-2.38,61,100,2.0
Puerto Escondido,MX,23 Oct 2019 07:24:55,15.86,-97.07,25.0,73,40,3.1
